Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Brazil,1229.883,1382.548,1446.228,1134.932,1105.852,1719.515,1955.069,2087.445,2289.424,3087.928,3106.116,2677.837,2523.736,2787.164,3495.239,4851.99,5204.574,5321.137,5123.549,3501.438,3772.05,3177.94,2856.026,3089.141,3660.02,4819.872,5921.179,7390.653,8878.359,8649.578,11333.023,13295.899,12424.949,12358.342,12175.681,8846.475,8757.304,9978.089,9194.149,8914.171,6840.658,7563.562,8857.47,9571.81,10173.093,10665.2,11145.971,11570.513
Brunei Darussalam,,,,,,21606.063,14434.365,16435.756,15165.476,16557.037,19281.891,20018.757,20523.307,20275.64,21188.872,24707.31,24275.815,23167.875,17164.1,18099.135,20473.284,18646.04,19037.814,20975.54,24759.511,29459.699,34869.24,36678.272,42529.703,31287.341,35437.251,47092.346,47776.368,44865.244,41947.487,31353.779,27321.997,28237.873,30666.62,29312.819,26467.804,32573.325,42939.398,41713.009,42046.653,42711.766,43499.664,44913.585
Bulgaria,3673.235,3950.229,4108.111,4211.107,4465.379,3820.536,3382.438,3926.053,6433.109,6580.664,2919.823,288.506,1183.155,649.649,1155.796,1958.07,1494.786,1386.466,1854.468,1689.293,1625.322,1797.392,2090.683,2710.577,3370.382,3869.588,4477.028,5811.847,7156.176,6878.061,6753.335,7872.043,7454.003,7702.783,7925.691,7098.587,7596.464,8414.389,9489.641,9914.32,10119.909,11745.571,12505.009,13220.578,14174.255,15045.95,16011.65,17061.176
Burkina Faso,349.672,297.167,270.123,240.72,209.724,225.945,288.783,327.429,352.095,342.864,395.875,389.6,406.069,376.711,220.468,265.238,280.453,258.109,287.604,300.311,255.082,267.099,294.457,374.534,418.187,458.187,473.475,535.125,643.334,623.497,648.365,751.041,758.48,787.481,793.051,653.393,688.061,734.737,813.468,786.929,831.013,887.282,824.884,831.309,869.049,911.335,957.364,998.806
Burundi,232.381,234.94,241.083,247.995,218.999,247.644,253.424,231.932,211.184,213.175,207.113,207.674,187.243,162.572,157.474,167.177,142.588,157.054,141.755,133.412,130.225,127.349,116.392,108.066,122.381,148.71,164.575,170.174,195.79,208.78,231.549,247.097,250.118,255.319,273.133,304.243,281.062,291.859,271.289,261.294,259.906,273.956,292.619,307.87,325.508,344.384,360.611,376.414
Cabo Verde,541.435,522.81,517.666,499.536,466.312,476.329,645.817,783.24,861.862,853.014,957.369,974.873,1062.47,1046.265,1180.486,1378.161,1385.771,1322.336,1376.757,1541.831,1399.088,1387.33,1501.545,1935.48,2188.003,2298.396,2571.824,3110.447,3636.128,3416.224,3312.035,3672.583,3388.875,3557.871,3532.994,2996.362,3082.157,3239.066,3963.62,3947.491,3359.764,3748.98,3600.223,3708.274,3964.393,4243.688,4522.24,4793.461
Cambodia,,,,,,,25.707,17.116,32.608,39.704,99.833,215.671,252.491,242.479,265.056,319.537,316.188,302.166,267.864,293.699,299.982,320.046,337.501,360.659,405.618,470.64,536.135,627.781,741.822,737.177,788.182,889.745,965.379,1034.768,1123.131,1203.435,1320.282,1448.02,1587.935,1736.317,1606.811,1661.753,1771.384,1901.046,2042.453,2191.764,2354.666,2528.941
Cameroon,1004.846,1106.193,1031.862,1012.33,1041.933,1059.933,1344.534,1514.218,1493.9,1292.834,1255.123,1357.676,1207.539,1222.984,808.04,745.55,808.211,794.939,772.304,765.544,660.382,687.404,756.14,949.02,1089.418,1101.546,1147.497,1277.667,1439.39,1409.942,1353.407,1464.888,1404.412,1527.773,1604.627,1382.65,1412.866,1468.929,1585.96,1533.161,1539.354,1667.318,1584.003,1608.536,1695.039,1784.19,1876.446,1973.491
Canada,11281.422,12396.666,12543.938,13493.198,13947.358,14185.922,14539.75,16408.139,19041.182,20842.455,21572.137,21885.57,20984.778,20210.452,20024.581,20706.725,21325.69,21930.485,21046.556,22340.553,24296.721,23859.714,24279.186,28338.745,32176.593,36439.62,40558.897,44716.985,46773.837,40990.625,47627.345,52285.937,52744.004,52708.61,51020.843,43626.47,42382.635,45191.993,46625.859,46403.986,43306.635,52015.069,56794.018,59178.976,60745.283,62703.547,64352.537,65954.515
Central African Republic,313.369,316.495,298.747,279.719,265.441,340.227,431.342,465.181,490.939,474.879,539.656,502.896,489.786,418.922,268.106,340.988,298.443,285.804,296.103,290.99,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,551.028,566.199,380.304,424.67,377.476,402.053,450.744,488.442,480.173,494.518,525.154,495.936,515.479,540.654,567.369,594.556,622.115
